candidate_code,candidate_name,F1_security_order,F2_electoral_skepticism,F3_government_distrust,F4_religious_traditionalism,F5_populist_conservatism
RH,CON,0.7674,-0.0235,0.1108,0.2186,0.4424
MW,SD,-0.4143,-0.0321,0.0915,-0.3447,-0.564
MRJ,STY,-0.446,0.6579,0.1333,0.1645,-0.0623
BE,NAT,0.7366,0.4278,-0.2078,0.4573,1.5101
CO,LIB,-0.4623,-0.7437,-0.0862,-0.323,-0.9496
DH,REF,0.2023,0.7593,-0.2061,0.147,0.9903
LK,CTR,0.2658,-0.8166,-0.1744,0.1296,0.0387
ZN,DSA,-1.3034,0.504,0.0761,-0.3869,-0.874
JR,PRG,-1.26,-0.6338,-0.2057,-0.3869,-0.99
SD_STY,SD/STY,-0.4247,0.1956,0.1053,-0.1767,-0.3984
CON_CTR,CON/CTR,0.5768,-0.3248,0.0024,0.1848,0.289
CON_SD,CON/SD,0.2357,-0.0274,0.1021,-0.0349,-0.0105
CON_STY,CON/STY,0.2577,0.2627,0.1202,0.1959,0.2304
STY_REF,STY/REF,-0.1543,0.7035,-0.0194,0.1566,0.4114
SD_CON,SD/CON,0.1529,-0.028,0.1007,-0.0743,-0.0809
STY_SD,STY/SD,-0.4301,0.3129,0.1124,-0.0901,-0.3132
REF_STY,REF/STY,-0.0376,0.7218,-0.0805,0.1535,0.6008
PRG_dsa,PRG_dsa,-1.2687,-0.4062,-0.1493,-0.3869,-0.9668
DSA_prg,DSA_prg,-1.2947,0.2764,0.0197,-0.3869,-0.8972
DSA_lib,DSA_lib,-1.1352,0.2545,0.0436,-0.3741,-0.8891
LIB_dsa,LIB_dsa,-0.6305,-0.4942,-0.0537,-0.3358,-0.9345
LIB_sd,LIB_sd,-0.4527,-0.6014,-0.0507,-0.3273,-0.8725
SD_lib,SD_lib,-0.4239,-0.1744,0.056,-0.3404,-0.6411
SD_sty,SD_sty,-0.4206,0.1059,0.0999,-0.2429,-0.4637
STY_sd,STY_sd,-0.4397,0.5199,0.1249,0.0627,-0.1626
STY_ctr,STY_ctr,-0.3036,0.363,0.0718,0.1575,-0.0421
CTR_sty,CTR_sty,0.1234,-0.5217,-0.1129,0.1366,0.0185
CTR_con,CTR_con,0.3661,-0.658,-0.1174,0.1474,0.1194
CON_ctr,CON_ctr,0.6671,-0.1821,0.0538,0.2008,0.3617
CON_ref,CON_ref,0.6544,0.1331,0.0474,0.2043,0.552
REF_con,REF_con,0.3153,0.6027,-0.1427,0.1613,0.8807
REF_nat,REF_nat,0.3092,0.693,-0.2064,0.2091,1.0943
NAT_ref,NAT_ref,0.6297,0.4941,-0.2075,0.3952,1.4061
